"Feature";"Description";"Type";"User Role";"Available As Of";"Release"

The third-party libraries are upgraded for CR Syncer, Fluent Bit, and warehouse robot
controller.

To enable these enhancements, upgrade to the latest version by implementing the commands
in Install CR Syncer and Install Warehouse Robot Controller.";"Changed";"Not applicable";"2023-05-20";"2305"
"Optimize warehouse orders based on all queues in the queue sequence,
or queue by queue";"In the Optimize Order Assignments step of the
Define Robot Settings app, you can see the
optimization status of your warehouse. You can choose to optimize your
orders for robots based on all queues in the queue sequence, or queue by
queue based on the queue sequence.";"New";"Warehouse Clerk";"2023-02-18";"2302"
"APIs for the integration with fleet management systems";"With the APIs, you can implement the adapters for the integration with fleet management
systems from different vendors.";"New";"Robot Administrator";"2023-02-18";"2302"
"Onboard Robots is renamed to
Onboard Robots - Integration Services";"The old app name Onboard Robots has been changed to
Onboard Robots - Integration Services because
there are two kinds of robots to be onboarded. Some robots are directly
integrated with  SAP Warehouse Robotics via
integration services. However, other robots are integrated via fleet
management systems.";"Changed";"Robot Administrator";"2023-02-18";"2302"
"Onboard Robots - Fleet Management";"A new app to onboard robots that are managed by fleet management systems. For more
information, see Onboard Robots - Fleet
Management.";"New";"Robot Administrator";"2023-02-18";"2302"
"Define Robot Processes";"A new app to define, enable, and disable settings for warehouse order processing for
robots. For more information, see Define Robot Processes.";"New";"Warehouse Clerk";"2023-02-18";"2302"
"Test and demo license for  SAP Warehouse Robotics";"You can purchase a test and demo license for  SAP Warehouse Robotics.";"New";"Not applicable";"2023-02-18";"2302"
"Enhancements to integration services for  SAP Warehouse Robotics";"The following enhancements are available in this release:

For the warehouse robot controller, change history is
added to the status of a robot command.

The certificate is automatically renewed on an edge node
before expiration of the certificate.
A retry functionality is added for the Fluent Bit to avoid
missing logs. 

To enable these enhancements, upgrade to the latest version by implementing the commands
in Install CR Syncer and Install Warehouse Robot Controller.";"Changed";"Not applicable";"2023-02-18";"2302"
"Multiple language support";"You can define descriptions using any of the languages supported by
 SAP Warehouse Robotics in
these apps: Onboard Robots,
Configure Your Solution, and
Define Robot Settings. For example, you
can add and display the warehouse description in German.";"New";"Business Configuration Expert, Warehouse Clerk, Robot
Administrator";"2022-11-12";"2211"
"Enhancements to integration services for  SAP Warehouse Robotics";"The authorization is upgraded from usernames and passwords to certificates between an edge
node and  SAP Warehouse Robotics.
To enable these enhancements, upgrade to the latest version by implementing the commands
in Install CR Syncer and Install Warehouse Robot Controller.";"Changed";"Not applicable";"2022-11-12";"2211"
"New languages for  SAP Warehouse Robotics";"Dutch and Russian are available for you to use for the user
interfaces of  SAP Warehouse Robotics.";"New";"Not applicable";"2022-11-12";"2211"
"Average number of used robots per month";"You can see the average number of used robots per month in the Monitor
Robots app. The number of used robots serves as the
basis of the pricing metric for  SAP Warehouse Robotics. 
To enable these enhancements, upgrade to the relevant version by
implementing the commands in Install CR Syncer and
Install Warehouse Robot
Controller.";"New";"Warehouse Clerk";"2022-11-12";"2211"
"Order assignment optimization";"You can activate the optimization of warehouse orders for robots for
processing. Then, the system can assign the next nearest warehouse
orders to a robot based on the position of its last processed warehouse
order. For more information, see Define Robot Settings.";"New";"Warehouse Clerk";"2022-11-12";"2211"
